2024-09-13 00:01:27 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has terminated working

2024-09-13 00:01:42 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2024-09-13 00:01:43 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 21.0.1 with PID 16808 (C:\Users\Nikita\IdeaProjects\pet-project\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\pet-project)
2024-09-13 00:01:43 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2024-09-13 00:02:22 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2024-09-13 00:02:23 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 21.0.1 with PID 10524 (C:\Users\Nikita\IdeaProjects\pet-project\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\pet-project)
2024-09-13 00:02:23 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2024-09-13 00:02:27 INFO  c.tinkoff_lab.TinkoffLabApplication - Started TinkoffLabApplication in 5.204 seconds (process running for 6.109)
2024-09-13 00:02:52 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has terminated working

2024-09-13 00:03:43 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2024-09-13 00:03:44 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 21.0.1 with PID 15096 (C:\Users\Nikita\IdeaProjects\pet-project\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\pet-project)
2024-09-13 00:03:44 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2024-09-13 00:03:49 INFO  c.tinkoff_lab.TinkoffLabApplication - Started TinkoffLabApplication in 5.253 seconds (process running for 6.066)
2024-09-13 00:04:56 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has terminated working

2024-09-13 00:17:50 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2024-09-13 00:17:51 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 21.0.1 with PID 5280 (C:\Users\Nikita\IdeaProjects\pet-project\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\pet-project)
2024-09-13 00:17:51 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2024-09-13 00:17:56 INFO  c.tinkoff_lab.TinkoffLabApplication - Started TinkoffLabApplication in 6.138 seconds (process running for 7.044)
2024-09-13 14:51:10 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2024-09-13 14:51:11 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 21.0.1 with PID 14768 (C:\Users\Nikita\IdeaProjects\pet-project\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\pet-project)
2024-09-13 14:51:11 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2024-09-13 14:51:17 INFO  c.tinkoff_lab.TinkoffLabApplication - Started TinkoffLabApplication in 6.277 seconds (process running for 7.335)
2024-09-13 15:05:29 INFO  c.t.controller.TranslationController - Request from user has received: UserRequest[text=я люблю тебя, originalLanguage=ru, finalLanguage=be]
2024-09-13 15:05:29 INFO  c.t.s.t.TranslationServiceImpl - Sending translation request: text = я люблю тебя 
2024-09-13 15:05:29 INFO  c.t.external.TranslationDefiner - Request has received: text = я люблю тебя 
2024-09-13 15:05:29 INFO  c.t.external.TranslationDefiner - Translation successfully completed
2024-09-13 15:05:30 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Start writing to database of query: Translation[id=null, ip=37.214.71.177, originalText=я люблю тебя, originalLang=ru, translatedText=я цябе люблю, targetLang=be, time=2024/09/13 15:05:30, status=200, message=Ok]
2024-09-13 15:05:30 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Connection with database established
2024-09-13 15:05:30 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Query has been successfully recorded
2024-09-13 15:05:30 INFO  c.t.controller.TranslationController - Response is sending to user
2024-09-13 15:07:50 INFO  c.t.controller.TranslationController - Request from user has received: UserRequest[text=я люблю тебя, originalLanguage=ru, finalLanguage=be]
2024-09-13 15:07:50 INFO  c.t.s.t.TranslationServiceImpl - Sending translation request: text = я люблю тебя 
2024-09-13 15:07:50 INFO  c.t.external.TranslationDefiner - Request has received: text = я люблю тебя 
2024-09-13 15:07:50 INFO  c.t.external.TranslationDefiner - Translation successfully completed
2024-09-13 15:07:51 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Start writing to database of query: Translation[id=null, ip=37.214.71.177, originalText=я люблю тебя, originalLang=ru, translatedText=я цябе люблю, targetLang=be, time=2024/09/13 15:07:51, status=200, message=Ok]
2024-09-13 15:07:51 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Connection with database established
2024-09-13 15:07:51 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Query has been successfully recorded
2024-09-13 15:07:51 INFO  c.t.controller.TranslationController - Response is sending to user
2024-09-13 16:01:16 INFO  c.t.controller.TranslationController - Request from user has received: UserRequest[text=я люблю тебя, originalLanguage=ru, finalLanguage=be]
2024-09-13 16:01:16 INFO  c.t.s.t.TranslationServiceImpl - Sending translation request: text = я люблю тебя 
2024-09-13 16:01:16 INFO  c.t.external.TranslationDefiner - Request has received: text = я люблю тебя 
2024-09-13 16:01:16 INFO  c.t.external.TranslationDefiner - Translation successfully completed
2024-09-13 16:01:16 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Start writing to database of query: Translation[id=null, ip=37.214.71.177, originalText=я люблю тебя, originalLang=ru, translatedText=я цябе люблю, targetLang=be, time=2024/09/13 16:01:16, status=200, message=Ok]
2024-09-13 16:01:16 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Connection with database established
