2025-02-16 15:32:30 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2025-02-16 15:32:31 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 21.0.1 with PID 10276 (C:\Users\Nikita\IdeaProjects\pet-project\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\pet-project)
2025-02-16 15:32:31 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2025-02-16 15:34:49 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2025-02-16 15:34:50 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 21.0.1 with PID 17816 (C:\Users\Nikita\IdeaProjects\pet-project\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\pet-project)
2025-02-16 15:34:50 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2025-02-16 15:48:10 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2025-02-16 15:48:11 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 21.0.1 with PID 10220 (C:\Users\Nikita\IdeaProjects\pet-project\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\pet-project)
2025-02-16 15:48:11 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2025-02-16 15:49:33 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2025-02-16 15:49:34 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 21.0.1 with PID 11124 (C:\Users\Nikita\IdeaProjects\pet-project\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\pet-project)
2025-02-16 15:49:34 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2025-02-16 16:09:59 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2025-02-16 16:09:59 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 21.0.1 with PID 18516 (C:\Users\Nikita\IdeaProjects\pet-project\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\pet-project)
2025-02-16 16:09:59 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2025-02-16 16:10:45 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2025-02-16 16:10:46 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 21.0.1 with PID 22420 (C:\Users\Nikita\IdeaProjects\pet-project\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\pet-project)
2025-02-16 16:10:46 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2025-02-16 16:11:39 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2025-02-16 16:11:39 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 21.0.1 with PID 13468 (C:\Users\Nikita\IdeaProjects\pet-project\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\pet-project)
2025-02-16 16:11:39 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2025-02-16 16:12:47 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2025-02-16 16:12:47 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 21.0.1 with PID 3964 (C:\Users\Nikita\IdeaProjects\pet-project\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\pet-project)
2025-02-16 16:12:47 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2025-02-16 16:15:51 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2025-02-16 16:15:52 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 21.0.1 with PID 10304 (C:\Users\Nikita\IdeaProjects\pet-project\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\pet-project)
2025-02-16 16:15:52 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2025-02-16 16:16:37 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
